Customer__c,Car__c,Start_Date__c,End_Date__c,Pickup_Location__c,Return_Location__c,Booking_Type__c,RecordTypeId
a02jV000000mmn7QAA,a01jV000003Ww17QAC,02-09-2026,05-09-2026,Delhi,Delhi,Short Term,012jV000000Ev1eQAC
a02jV000000mehiQAA,a01jV000003Wes0QAC,05-09-2026,05-10-2026,Bangalore,Bangalore,Long Term,012jV000000Ev1dQAC
a02jV000000mnBJQAY,a01jV000003X5AWQA0,10-09-2026,14-09-2026,Kolkata,Kolkata,Short Term,012jV000000Ev1eQAC
a02jV000000mmtBQAQ,a01jV000003WtCGQA0,15-09-2026,15-10-2026,Mumbai,Mumbai,Long Term,012jV000000Ev1dQAC
a02jV000000mpJZQAY,a01jV000003Ve8sQAC,20-09-2026,24-09-2026,Hyderabad,Hyderabad,Short Term,012jV000000Ev1eQAC
a02jV000000mpLBQAY,a01jV000003WBmoQAG,25-09-2026,25-10-2026,Bhubaneswar,Bhubaneswar,Long Term,012jV000000Ev1dQAC
a02jV000000mpWTQAY,a01jV000003WGERQA4,01-10-2026,06-10-2026,Jaipur,Jaipur,Short Term,012jV000000Ev1eQAC
a02jV000000mpbJQAQ,a01jV000003VrUbQAK,05-10-2026,05-11-2026,Delhi,Delhi,Long Term,012jV000000Ev1dQAC
a02jV000000mpcvQAA,a01jV000003XBz5QAG,10-10-2026,14-10-2026,Mumbai,Mumbai,Short Term,012jV000000Ev1eQAC
a02jV000000mpeXQAQ,a01jV000003V4leQAC,15-10-2026,15-11-2026,Kolkata,Kolkata,Long Term,012jV000000Ev1dQAC
